Wvlgth,Direct_normal_irradiance,Global_horizn_irradiance,Global_tilted_irradiance,Beam_normal_+circumsolar
.3000E+03,.4038E-03,.8723E-03,.8723E-03,.4038E-03
.3005E+03,.5622E-03,.1239E-02,.1239E-02,.5622E-03
.3010E+03,.9467E-03,.2171E-02,.2171E-02,.9467E-03
.3015E+03,.1416E-02,.3384E-02,.3384E-02,.1416E-02
.3020E+03,.1183E-02,.2885E-02,.2885E-02,.1183E-02
.3025E+03,.2281E-02,.5484E-02,.5484E-02,.2281E-02
.3030E+03,.4004E-02,.9362E-02,.9362E-02,.4004E-02
.3035E+03,.4988E-02,.1145E-01,.1145E-01,.4988E-02
.3040E+03,.4638E-02,.1060E-01,.1060E-01,.4638E-02
.3045E+03,.6540E-02,.1493E-01,.1493E-01,.6540E-02
.3050E+03,.9110E-02,.2089E-01,.2089E-01,.9110E-02
.3055E+03,.9957E-02,.2288E-01,.2288E-01,.9957E-02
.3060E+03,.9545E-02,.2188E-01,.2188E-01,.9545E-02
.3065E+03,.1156E-01,.2649E-01,.2649E-01,.1156E-01
.3070E+03,.1586E-01,.3664E-01,.3664E-01,.1586E-01
.3075E+03,.1963E-01,.4574E-01,.4574E-01,.1963E-01
.3080E+03,.2077E-01,.4827E-01,.4827E-01,.2077E-01
.3085E+03,.2377E-01,.5533E-01,.5533E-01,.2377E-01
.3090E+03,.2127E-01,.5404E-01,.5404E-01,.2127E-01
.3095E+03,.2386E-01,.5895E-01,.5895E-01,.2386E-01
.3100E+03,.2384E-01,.5808E-01,.5808E-01,.2384E-01
.3105E+03,.3877E-01,.9352E-01,.9352E-01,.3877E-01
.3110E+03,.4835E-01,.1154E+00,.1154E+00,.4835E-01
.3115E+03,.4684E-01,.1109E+00,.1109E+00,.4684E-01
.3120E+03,.4558E-01,.1065E+00,.1065E+00,.4558E-01
.3125E+03,.5461E-01,.1265E+00,.1265E+00,.5461E-01
.3130E+03,.5906E-01,.1359E+00,.1359E+00,.5906E-01
.3135E+03,.5871E-01,.1344E+00,.1344E+00,.5871E-01
.3140E+03,.7145E-01,.1623E+00,.1623E+00,.7145E-01
.3145E+03,.6105E-01,.1380E+00,.1380E+00,.6105E-01
.3150E+03,.8045E-01,.1809E+00,.1809E+00,.8045E-01
.3155E+03,.6952E-01,.1552E+00,.1552E+00,.6952E-01
.3160E+03,.5879E-01,.1308E+00,.1308E+00,.5879E-01
.3165E+03,.8218E-01,.1824E+00,.1824E+00,.8218E-01
.3170E+03,.1030E+00,.2272E+00,.2272E+00,.1030E+00
.3175E+03,.1092E+00,.2392E+00,.2392E+00,.1092E+00
.3180E+03,.8366E-01,.1828E+00,.1828E+00,.8366E-01
.3185E+03,.9975E-01,.2182E+00,.2182E+00,.9975E-01
.3190E+03,.1164E+00,.2543E+00,.2543E+00,.1164E+00
.3195E+03,.9949E-01,.2147E+00,.2147E+00,.9949E-01
.3200E+03,.1217E+00,.2608E+00,.2608E+00,.1217E+00
.3205E+03,.1457E+00,.3130E+00,.3130E+00,.1457E+00
.3210E+03,.1247E+00,.2690E+00,.2690E+00,.1247E+00
.3215E+03,.1200E+00,.2576E+00,.2576E+00,.1200E+00
.3220E+03,.1354E+00,.2861E+00,.2861E+00,.1354E+00
.3225E+03,.1181E+00,.2481E+00,.2481E+00,.1181E+00
.3230E+03,.1144E+00,.2406E+00,.2406E+00,.1144E+00
.3235E+03,.1338E+00,.2891E+00,.2891E+00,.1338E+00
.3240E+03,.1565E+00,.3366E+00,.3366E+00,.1565E+00
.3245E+03,.1623E+00,.3457E+00,.3457E+00,.1623E+00
.3250E+03,.1470E+00,.3023E+00,.3023E+00,.1470E+00
.3255E+03,.1849E+00,.3804E+00,.3804E+00,.1849E+00
.3260E+03,.2198E+00,.4621E+00,.4621E+00,.2198E+00
.3265E+03,.2173E+00,.4568E+00,.4568E+00,.2173E+00
.3270E+03,.2197E+00,.4582E+00,.4582E+00,.2197E+00
.3275E+03,.2154E+00,.4454E+00,.4454E+00,.2154E+00
.3280E+03,.1978E+00,.4037E+00,.4037E+00,.1978E+00
.3285E+03,.2024E+00,.4141E+00,.4141E+00,.2024E+00
.3290E+03,.2377E+00,.4873E+00,.4873E+00,.2377E+00
.3295E+03,.2694E+00,.5505E+00,.5505E+00,.2694E+00
.3300E+03,.2751E+00,.5578E+00,.5578E+00,.2751E+00
.3305E+03,.2256E+00,.4520E+00,.4520E+00,.2256E+00
.3310E+03,.2325E+00,.4622E+00,.4622E+00,.2325E+00
.3315E+03,.2341E+00,.4645E+00,.4645E+00,.2341E+00
.3320E+03,.2490E+00,.4949E+00,.4949E+00,.2490E+00
.3325E+03,.2454E+00,.4866E+00,.4866E+00,.2454E+00
.3330E+03,.2474E+00,.4867E+00,.4867E+00,.2474E+00
.3335E+03,.2286E+00,.4447E+00,.4447E+00,.2286E+00
.3340E+03,.2357E+00,.4554E+00,.4554E+00,.2357E+00
.3345E+03,.2685E+00,.5191E+00,.5191E+00,.2685E+00
.3350E+03,.2511E+00,.4845E+00,.4845E+00,.2511E+00
.3355E+03,.2860E+00,.5713E+00,.5713E+00,.2860E+00
.3360E+03,.1988E+00,.3948E+00,.3948E+00,.1988E+00
.3365E+03,.2424E+00,.4591E+00,.4591E+00,.2424E+00
.3370E+03,.2013E+00,.3782E+00,.3782E+00,.2013E+00
.3375E+03,.2521E+00,.4706E+00,.4706E+00,.2521E+00
.3380E+03,.2437E+00,.4546E+00,.4546E+00,.2437E+00
.3385E+03,.2758E+00,.5275E+00,.5275E+00,.2758E+00
.3390E+03,.2756E+00,.5207E+00,.5207E+00,.2756E+00
.3395E+03,.2652E+00,.5011E+00,.5011E+00,.2652E+00
.3400E+03,.3202E+00,.5847E+00,.5847E+00,.3202E+00
.3405E+03,.2895E+00,.5260E+00,.5260E+00,.2895E+00
.3410E+03,.2786E+00,.5154E+00,.5154E+00,.2786E+00
.3415E+03,.2591E+00,.4716E+00,.4716E+00,.2591E+00
.3420E+03,.3115E+00,.5624E+00,.5624E+00,.3115E+00
.3425E+03,.2933E+00,.5257E+00,.5257E+00,.2933E+00
.3430E+03,.3225E+00,.5785E+00,.5785E+00,.3225E+00
.3435E+03,.3040E+00,.5443E+00,.5443E+00,.3040E+00
.3440E+03,.2286E+00,.4005E+00,.4005E+00,.2286E+00
.3445E+03,.2270E+00,.4060E+00,.4060E+00,.2270E+00
.3450E+03,.3050E+00,.5355E+00,.5355E+00,.3050E+00
.3455E+03,.3137E+00,.5459E+00,.5459E+00,.3137E+00
.3460E+03,.2682E+00,.4632E+00,.4632E+00,.2682E+00
.3465E+03,.3053E+00,.5237E+00,.5237E+00,.3053E+00
.3470E+03,.3280E+00,.5619E+00,.5619E+00,.3280E+00
.3475E+03,.2659E+00,.4539E+00,.4539E+00,.2659E+00
.3480E+03,.3056E+00,.5165E+00,.5165E+00,.3056E+00
.3485E+03,.3072E+00,.5154E+00,.5154E+00,.3072E+00
.3490E+03,.2863E+00,.4776E+00,.4776E+00,.2863E+00
.3495E+03,.2843E+00,.4725E+00,.4725E+00,.2843E+00
.3500E+03,.3530E+00,.5832E+00,.5832E+00,.3530E+00
.3505E+03,.3737E+00,.6144E+00,.6144E+00,.3737E+00
.3510E+03,.3345E+00,.5484E+00,.5484E+00,.3345E+00
.3515E+03,.3247E+00,.5331E+00,.5331E+00,.3247E+00
.3520E+03,.3512E+00,.5717E+00,.5717E+00,.3512E+00
.3525E+03,.2756E+00,.4454E+00,.4454E+00,.2756E+00
.3530E+03,.3487E+00,.5601E+00,.5601E+00,.3487E+00
.3535E+03,.3741E+00,.5976E+00,.5976E+00,.3741E+00
.3540E+03,.3897E+00,.6191E+00,.6191E+00,.3897E+00
.3545E+03,.3969E+00,.6276E+00,.6276E+00,.3969E+00
.3550E+03,.3970E+00,.6254E+00,.6254E+00,.3970E+00
.3555E+03,.3601E+00,.5647E+00,.5647E+00,.3601E+00
.3560E+03,.3783E+00,.5906E+00,.5906E+00,.3783E+00
.3565E+03,.3242E+00,.5039E+00,.5039E+00,.3242E+00
.3570E+03,.2688E+00,.4160E+00,.4160E+00,.2688E+00
.3575E+03,.3303E+00,.5088E+00,.5088E+00,.3303E+00
.3580E+03,.2627E+00,.4028E+00,.4028E+00,.2627E+00
.3585E+03,.2253E+00,.3439E+00,.3439E+00,.2253E+00
.3590E+03,.3162E+00,.4807E+00,.4807E+00,.3162E+00
.3595E+03,.4040E+00,.6122E+00,.6122E+00,.4040E+00
.3600E+03,.4299E+00,.6484E+00,.6484E+00,.4299E+00
.3605E+03,.3448E+00,.5177E+00,.5177E+00,.3448E+00
.3610E+03,.3154E+00,.4715E+00,.4715E+00,.3154E+00
.3615E+03,.3642E+00,.5424E+00,.5424E+00,.3642E+00
.3620E+03,.3158E+00,.4686E+00,.4686E+00,.3158E+00
.3625E+03,.4383E+00,.6478E+00,.6478E+00,.4383E+00
.3630E+03,.3948E+00,.5813E+00,.5813E+00,.3948E+00
.3635E+03,.3646E+00,.5349E+00,.5349E+00,.3646E+00
.3640E+03,.4472E+00,.6536E+00,.6536E+00,.4472E+00
.3645E+03,.3834E+00,.5582E+00,.5582E+00,.3834E+00
.3650E+03,.3916E+00,.5680E+00,.5680E+00,.3916E+00
.3655E+03,.4929E+00,.7122E+00,.7122E+00,.4929E+00
.3660E+03,.5237E+00,.7539E+00,.7539E+00,.5237E+00
.3665E+03,.4934E+00,.7076E+00,.7076E+00,.4934E+00
.3670E+03,.4818E+00,.6883E+00,.6883E+00,.4818E+00
.3675E+03,.5013E+00,.7133E+00,.7133E+00,.5013E+00
.3680E+03,.4397E+00,.6234E+00,.6234E+00,.4397E+00
.3685E+03,.4450E+00,.6288E+00,.6288E+00,.4450E+00
.3690E+03,.4821E+00,.6788E+00,.6788E+00,.4821E+00
.3695E+03,.5155E+00,.7232E+00,.7232E+00,.5155E+00
.3700E+03,.5513E+00,.7708E+00,.7708E+00,.5513E+00
.3705E+03,.4291E+00,.5978E+00,.5978E+00,.4291E+00
.3710E+03,.4598E+00,.6384E+00,.6384E+00,.4598E+00
.3715E+03,.5769E+00,.7982E+00,.7982E+00,.5769E+00
.3720E+03,.3840E+00,.5294E+00,.5294E+00,.3840E+00
.3725E+03,.4617E+00,.6343E+00,.6343E+00,.4617E+00
.3730E+03,.4709E+00,.6448E+00,.6448E+00,.4709E+00
.3735E+03,.3072E+00,.4192E+00,.4192E+00,.3072E+00
.3740E+03,.4476E+00,.6087E+00,.6087E+00,.4476E+00
.3745E+03,.3716E+00,.5038E+00,.5038E+00,.3716E+00
.3750E+03,.3622E+00,.4894E+00,.4894E+00,.3622E+00
.3755E+03,.5422E+00,.7301E+00,.7301E+00,.5422E+00
.3760E+03,.4507E+00,.6048E+00,.6048E+00,.4507E+00
.3765E+03,.4683E+00,.6264E+00,.6264E+00,.4683E+00
.3770E+03,.4971E+00,.6627E+00,.6627E+00,.4971E+00
.3775E+03,.5830E+00,.7748E+00,.7748E+00,.5830E+00
.3780E+03,.6336E+00,.8393E+00,.8393E+00,.6336E+00
.3785E+03,.6006E+00,.7929E+00,.7929E+00,.6006E+00
.3790E+03,.4970E+00,.6540E+00,.6540E+00,.4970E+00
.3795E+03,.4552E+00,.5971E+00,.5971E+00,.4552E+00
.3800E+03,.4746E+00,.6205E+00,.6205E+00,.4746E+00
.3805E+03,.5762E+00,.7512E+00,.7512E+00,.5762E+00
.3810E+03,.5788E+00,.7524E+00,.7524E+00,.5788E+00
.3815E+03,.4599E+00,.5960E+00,.5960E+00,.4599E+00
.3820E+03,.4094E+00,.5290E+00,.5290E+00,.4094E+00
.3825E+03,.3497E+00,.4507E+00,.4507E+00,.3497E+00
.3830E+03,.3245E+00,.4170E+00,.4170E+00,.3245E+00
.3835E+03,.3133E+00,.4014E+00,.4014E+00,.3133E+00
.3840E+03,.3464E+00,.4424E+00,.4424E+00,.3464E+00
.3845E+03,.5107E+00,.6504E+00,.6504E+00,.5107E+00
.3850E+03,.5076E+00,.6447E+00,.6447E+00,.5076E+00
.3855E+03,.4739E+00,.6002E+00,.6002E+00,.4739E+00
.3860E+03,.4069E+00,.5138E+00,.5138E+00,.4069E+00
.3865E+03,.5357E+00,.6747E+00,.6747E+00,.5357E+00
.3870E+03,.4462E+00,.5604E+00,.5604E+00,.4462E+00
.3875E+03,.5024E+00,.6292E+00,.6292E+00,.5024E+00
.3880E+03,.4650E+00,.5807E+00,.5807E+00,.4650E+00
.3885E+03,.4607E+00,.5738E+00,.5738E+00,.4607E+00
.3890E+03,.4984E+00,.6191E+00,.6191E+00,.4984E+00
.3895E+03,.6051E+00,.7495E+00,.7495E+00,.6051E+00
.3900E+03,.6086E+00,.7519E+00,.7519E+00,.6086E+00
.3905E+03,.5613E+00,.6916E+00,.6916E+00,.5613E+00
.3910E+03,.6622E+00,.8138E+00,.8138E+00,.6622E+00
.3915E+03,.6770E+00,.8297E+00,.8297E+00,.6770E+00
.3920E+03,.5715E+00,.6985E+00,.6985E+00,.5715E+00
.3925E+03,.5127E+00,.6251E+00,.6251E+00,.5127E+00
.3930E+03,.2859E+00,.3476E+00,.3476E+00,.2859E+00
.3935E+03,.2082E+00,.2526E+00,.2526E+00,.2082E+00
.3940E+03,.4246E+00,.5137E+00,.5137E+00,.4246E+00
.3945E+03,.5409E+00,.6528E+00,.6528E+00,.5409E+00
.3950E+03,.6613E+00,.7961E+00,.7961E+00,.6613E+00
.3955E+03,.6733E+00,.8084E+00,.8084E+00,.6733E+00
.3960E+03,.5849E+00,.7006E+00,.7006E+00,.5849E+00
.3965E+03,.3426E+00,.4093E+00,.4093E+00,.3426E+00
.3970E+03,.2576E+00,.3071E+00,.3071E+00,.2576E+00
.3975E+03,.5250E+00,.6242E+00,.6242E+00,.5250E+00
.3980E+03,.7368E+00,.8738E+00,.8738E+00,.7368E+00
.3985E+03,.7631E+00,.9028E+00,.9028E+00,.7631E+00
.3990E+03,.8277E+00,.9770E+00,.9770E+00,.8277E+00
.3995E+03,.8266E+00,.9733E+00,.9733E+00,.8266E+00
.4000E+03,.8602E+00,.1010E+01,.1010E+01,.8602E+00
.4010E+03,.8865E+00,.1034E+01,.1034E+01,.8865E+00
.4020E+03,.9387E+00,.1090E+01,.1090E+01,.9387E+00
.4030E+03,.8948E+00,.1035E+01,.1035E+01,.8948E+00
.4040E+03,.8842E+00,.1018E+01,.1018E+01,.8842E+00
.4050E+03,.8871E+00,.1017E+01,.1017E+01,.8871E+00
.4060E+03,.8757E+00,.9995E+00,.9995E+00,.8757E+00
.4070E+03,.8645E+00,.9826E+00,.9826E+00,.8645E+00
.4080E+03,.9014E+00,.1020E+01,.1020E+01,.9014E+00
.4090E+03,.9680E+00,.1091E+01,.1091E+01,.9680E+00
.4100E+03,.8483E+00,.9522E+00,.9522E+00,.8483E+00
.4110E+03,.9217E+00,.1030E+01,.1030E+01,.9217E+00
.4120E+03,.9926E+00,.1105E+01,.1105E+01,.9926E+00
.4130E+03,.9713E+00,.1077E+01,.1077E+01,.9713E+00
.4140E+03,.9863E+00,.1090E+01,.1090E+01,.9863E+00
.4150E+03,.9916E+00,.1091E+01,.1091E+01,.9916E+00
.4160E+03,.1012E+01,.1110E+01,.1110E+01,.1012E+01
.4170E+03,.9902E+00,.1082E+01,.1082E+01,.9902E+00
.4180E+03,.9749E+00,.1061E+01,.1061E+01,.9749E+00
.4190E+03,.9905E+00,.1074E+01,.1074E+01,.9905E+00
.4200E+03,.9892E+00,.1069E+01,.1069E+01,.9892E+00
.4210E+03,.1038E+01,.1117E+01,.1117E+01,.1038E+01
.4220E+03,.9893E+00,.1061E+01,.1061E+01,.9893E+00
.4230E+03,.9691E+00,.1036E+01,.1036E+01,.9691E+00
.4240E+03,.1028E+01,.1095E+01,.1095E+01,.1028E+01
.4250E+03,.1029E+01,.1093E+01,.1093E+01,.1029E+01
.4260E+03,.1004E+01,.1063E+01,.1063E+01,.1004E+01
.4270E+03,.9883E+00,.1042E+01,.1042E+01,.9883E+00
.4280E+03,.9654E+00,.1015E+01,.1015E+01,.9654E+00
.4290E+03,.9165E+00,.9604E+00,.9604E+00,.9165E+00
.4300E+03,.8039E+00,.8397E+00,.8397E+00,.8039E+00
.4310E+03,.7993E+00,.8321E+00,.8321E+00,.7993E+00
.4320E+03,.1034E+01,.1074E+01,.1074E+01,.1034E+01
.4330E+03,.1043E+01,.1079E+01,.1079E+01,.1043E+01
.4340E+03,.9707E+00,.1001E+01,.1001E+01,.9707E+00
.4350E+03,.1017E+01,.1045E+01,.1045E+01,.1017E+01
.4360E+03,.1148E+01,.1177E+01,.1177E+01,.1148E+01
.4370E+03,.1134E+01,.1159E+01,.1159E+01,.1134E+01
.4380E+03,.1035E+01,.1055E+01,.1055E+01,.1035E+01
.4390E+03,.1074E+01,.1091E+01,.1091E+01,.1074E+01
.4400E+03,.1110E+01,.1124E+01,.1124E+01,.1110E+01
.4410E+03,.1153E+01,.1164E+01,.1164E+01,.1153E+01
.4420E+03,.1239E+01,.1248E+01,.1248E+01,.1239E+01
.4430E+03,.1210E+01,.1216E+01,.1216E+01,.1210E+01
.4440E+03,.1239E+01,.1241E+01,.1241E+01,.1239E+01
.4450E+03,.1215E+01,.1214E+01,.1214E+01,.1215E+01
.4460E+03,.1161E+01,.1157E+01,.1157E+01,.1161E+01
.4470E+03,.1258E+01,.1250E+01,.1250E+01,.1258E+01
.4480E+03,.1281E+01,.1269E+01,.1269E+01,.1281E+01
.4490E+03,.1288E+01,.1273E+01,.1273E+01,.1288E+01
.4500E+03,.1326E+01,.1307E+01,.1307E+01,.1326E+01
.4510E+03,.1378E+01,.1355E+01,.1355E+01,.1378E+01
.4520E+03,.1331E+01,.1305E+01,.1305E+01,.1331E+01
.4530E+03,.1254E+01,.1226E+01,.1226E+01,.1254E+01
.4540E+03,.1311E+01,.1279E+01,.1279E+01,.1311E+01
.4550E+03,.1322E+01,.1286E+01,.1286E+01,.1322E+01
.4560E+03,.1356E+01,.1316E+01,.1316E+01,.1356E+01
.4570E+03,.1381E+01,.1337E+01,.1337E+01,.1381E+01
.4580E+03,.1337E+01,.1291E+01,.1291E+01,.1337E+01
.4590E+03,.1333E+01,.1284E+01,.1284E+01,.1333E+01
.4600E+03,.1339E+01,.1287E+01,.1287E+01,.1339E+01
.4610E+03,.1372E+01,.1315E+01,.1315E+01,.1372E+01
.4620E+03,.1385E+01,.1324E+01,.1324E+01,.1385E+01
.4630E+03,.1378E+01,.1314E+01,.1314E+01,.1378E+01
.4640E+03,.1357E+01,.1291E+01,.1291E+01,.1357E+01
.4650E+03,.1341E+01,.1274E+01,.1274E+01,.1341E+01
.4660E+03,.1356E+01,.1285E+01,.1285E+01,.1356E+01
.4670E+03,.1334E+01,.1261E+01,.1261E+01,.1334E+01
.4680E+03,.1352E+01,.1276E+01,.1276E+01,.1352E+01
.4690E+03,.1362E+01,.1282E+01,.1282E+01,.1362E+01
.4700E+03,.1321E+01,.1240E+01,.1240E+01,.1321E+01
.4710E+03,.1321E+01,.1238E+01,.1238E+01,.1321E+01
.4720E+03,.1394E+01,.1303E+01,.1303E+01,.1394E+01
.4730E+03,.1379E+01,.1286E+01,.1286E+01,.1379E+01
.4740E+03,.1384E+01,.1288E+01,.1288E+01,.1384E+01
.4750E+03,.1399E+01,.1298E+01,.1298E+01,.1399E+01
.4760E+03,.1360E+01,.1259E+01,.1259E+01,.1360E+01
.4770E+03,.1367E+01,.1262E+01,.1262E+01,.1367E+01
.4780E+03,.1407E+01,.1297E+01,.1297E+01,.1407E+01
.4790E+03,.1400E+01,.1288E+01,.1288E+01,.1400E+01
.4800E+03,.1404E+01,.1288E+01,.1288E+01,.1404E+01
.4810E+03,.1432E+01,.1311E+01,.1311E+01,.1432E+01
.4820E+03,.1441E+01,.1317E+01,.1317E+01,.1441E+01
.4830E+03,.1425E+01,.1300E+01,.1300E+01,.1425E+01
.4840E+03,.1397E+01,.1272E+01,.1272E+01,.1397E+01
.4850E+03,.1333E+01,.1211E+01,.1211E+01,.1333E+01
.4860E+03,.1166E+01,.1058E+01,.1058E+01,.1166E+01
.4870E+03,.1224E+01,.1108E+01,.1108E+01,.1224E+01
.4880E+03,.1344E+01,.1214E+01,.1214E+01,.1344E+01
.4890E+03,.1351E+01,.1218E+01,.1218E+01,.1351E+01
.4900E+03,.1423E+01,.1280E+01,.1280E+01,.1423E+01
.4910E+03,.1400E+01,.1257E+01,.1257E+01,.1400E+01
.4920E+03,.1324E+01,.1187E+01,.1187E+01,.1324E+01
.4930E+03,.1369E+01,.1225E+01,.1225E+01,.1369E+01
.4940E+03,.1385E+01,.1236E+01,.1236E+01,.1385E+01
.4950E+03,.1398E+01,.1246E+01,.1246E+01,.1398E+01
.4960E+03,.1408E+01,.1253E+01,.1253E+01,.1408E+01
.4970E+03,.1432E+01,.1272E+01,.1272E+01,.1432E+01
.4980E+03,.1367E+01,.1212E+01,.1212E+01,.1367E+01
.4990E+03,.1387E+01,.1227E+01,.1227E+01,.1387E+01
.5000E+03,.1349E+01,.1195E+01,.1195E+01,.1349E+01
.5010E+03,.1326E+01,.1180E+01,.1180E+01,.1326E+01
.5020E+03,.1311E+01,.1164E+01,.1164E+01,.1311E+01
.5030E+03,.1368E+01,.1212E+01,.1212E+01,.1368E+01
.5040E+03,.1339E+01,.1184E+01,.1184E+01,.1339E+01
.5050E+03,.1385E+01,.1223E+01,.1223E+01,.1385E+01
.5060E+03,.1432E+01,.1262E+01,.1262E+01,.1432E+01
.5070E+03,.1364E+01,.1201E+01,.1201E+01,.1364E+01
.5080E+03,.1322E+01,.1162E+01,.1162E+01,.1322E+01
.5090E+03,.1360E+01,.1193E+01,.1193E+01,.1360E+01
.5100E+03,.1353E+01,.1186E+01,.1186E+01,.1353E+01
.5110E+03,.1390E+01,.1216E+01,.1216E+01,.1390E+01
.5120E+03,.1406E+01,.1229E+01,.1229E+01,.1406E+01
.5130E+03,.1333E+01,.1163E+01,.1163E+01,.1333E+01
.5140E+03,.1325E+01,.1154E+01,.1154E+01,.1325E+01
.5150E+03,.1313E+01,.1142E+01,.1142E+01,.1313E+01
.5160E+03,.1312E+01,.1139E+01,.1139E+01,.1312E+01
.5170E+03,.1167E+01,.1011E+01,.1011E+01,.1167E+01
.5180E+03,.1228E+01,.1063E+01,.1063E+01,.1228E+01
.5190E+03,.1290E+01,.1115E+01,.1115E+01,.1290E+01
.5200E+03,.1338E+01,.1155E+01,.1155E+01,.1338E+01
.5210E+03,.1352E+01,.1165E+01,.1165E+01,.1352E+01
.5220E+03,.1355E+01,.1166E+01,.1166E+01,.1355E+01
.5230E+03,.1332E+01,.1145E+01,.1145E+01,.1332E+01
.5240E+03,.1382E+01,.1186E+01,.1186E+01,.1382E+01
